Urdu,File
آب,W000001
آبا,W000002
ابا,W000003
ابابیل,W000004
اباحت,W000005
ابال,W000006
ابالا,W000007
ابالنا,W000008
ابتدا,W000009
ابتدائی,W000010
ابتدائیہ,W000011
ابتدال,W000012
ابتر,W000013
ابتلا,W000014
ابتهاج,W000015
ابٹن,W000016
آبجد,W000017
انجره,W000018
آبد,W000019
ابدال,W000020
آیدی,W000021
آبدیت,W000022
ابر,W000023
آبرا,W000024
آبرار,W000025
ابرام,W000026
ابراہیم,W000027
ابرص,W000028
ابرق,W000029
آبرک,W000030
ابرن,W000031
آبرو,W000032
آبرو,W000033
آبری,W000034
ابریشم,W000035
ابسنا,W000036
ابصار,W000037
أبطال,W000038
ایکانی,W000039
ابلا,W000040
ابھیاس,W000041
اوپاس,W000042
اپاہج,W000043
اوپاۓ,W000044
اپچ,W000045
اپجاؤ,W000046
اگچنا,W000047
اپدیش,W000048
اپدیشک,W000049
اپرادھ,W000050
اپرادھی,W000051
اپرم پار,W000052
اپریل,W000053
اپسرا,W000054
اپکار,W000055
اپلا,W000056
اپمان,W000057
اپنا,W000058
اُتارن,W000059
اُترن,W000060
اتارنا,W000061
اتارو,W000062
اتاشی,W000063
اتالیق,W000064
اتا ولا,W000065
آتائی,W000066
اتباع,W000067
اتحاد,W000068
اُتر,W000069
اُترا,W000070
اِترانا,W000071
اُترانا,W000072
اترائی,W000073
اَتَرسُوں,W000074
اُترن,W000075
اُترنا,W000076
اُتساه,W000077
اتسَو,W000078
اِتّصال,W000079
اِتّصالی,W000080
اِتّفاق,W000081
اِتّفاقاً,W000082
اِتّفاقات,W000083
اتّفاقیہ,W000084
اِتقا,W000085
اَتقیا,W000086
اتلاف,W000087
اُتم,W000088
اِتمام,W000089
اِتنا,W000090
اُتّو,W000091
اپوزیشن,W000092
اُپون,W000093
اُپہار,W000094
اُپی,W000095
اپیل,W000096
اپیل,W000097
اپیلانٹ,W000098
اَپھَار,W000099
اپھرنا,W000100
اَتَاپتَا,W000101
اُتار,W000102
اُتارا,W000103
اَٹھّا,W000104
اٹھارہ,W000105
اٹھاسی,W000106
اُٹھان,W000107
اُٹھانا,W000108
اَٹھّانوے,W000109
اَٹھّاون,W000110
اٹھلانا,W000111
اَٹهِنّی,W000112
اَٹھوانسا,W000113
اَثاثہ,W000114
اِثبات,W000115
اَثَر,W000116
اثرِیّت,W000117
اَثَم,W000118
اَثَمار,W000119
اَثنا,W000120
عشریہ,W000121
اَثیم,W000122
اجابت,W000123
اجاره,W000124
اُجاڑ,W000125
اُجاڑنا,W000126
اِجازت,W000127
اَجرام,W000128
اُجاگر,W000129
اُجالا,W000130
اُجالنا,W000131
اَجان,W000132
اُجنَک,W000133
اُزبَک,W000134
اجتماع,W000135
اِجتماعی,W000136
اِجتماعیت,W000137
اِجتِنَاب,W000138
اِجتہاد,W000139
اَجداد,W000140
اُجَڑ,W000141
اَجر,W000142
اجرا,W000143
اُجرَت,W000144
اُجڑا,W000145
اجڑنا,W000146
اَجزا,W000147
اَجسَاد,W000148
اجسام,W000149
اَجَل,W000150
اَجَل,W000151
اَجگر,W000152
اُجلا,W000153
